SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-43,90,90.0,2.462,11,218,15,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,Not Configured,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:49 AM,90,90
FADER,C0-56-27-18-69-64,802.11n,-44,90,90.0,2.437,6,208,15,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:49 AM,90,90
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-47,87,87.0,5.180,36,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:48 AM,87,87
WLANMTSU,D8-84-66-13-10-00,802.11ac,-47,87,87.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:52 AM,87,87
WLANMTSU,D8-84-66-12-51-60,802.11ac,-54,82,82.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:48 AM,82,82
FADER,C0-56-27-18-69-65,802.11n,-56,81,81.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:48 AM,81,81
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-56,81,81.0,5.220,44,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:48 AM,81,81
WLANMTSU,D8-84-66-12-51-68,802.11n,-58,80,80.0,2.462,11,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,9 - 13,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:49 AM,80,80
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-66,64,64.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:48 AM,64,64
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-68,60,60.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:49 AM,60,60
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-68,60,60.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:48 AM,60,60
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-70,40,40.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:48 AM,40,40
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-72,36,36.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:48 AM,36,36
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-73,34,34.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:48 AM,34,34
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-75,30,30.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:48 AM,30,30
WLANMTSU,D8-84-66-13-12-A0,802.11ac,-80,20,20.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:48 AM,20,20
WLANMTSU,D8-84-66-12-81-E9,802.11n,-80,20,20.0,2.412,1,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:48 AM,20,20
WLANMTSU,D8-84-66-12-8A-18,802.11n,-80,20,20.0,2.412,1,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,4/11/2019 8:04:52 AM,4/11/2019 8:04:52 AM,1,4/11/2019 8:04:49 AM,20,20
