SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-44,90,90.0,2.437,6,283,13,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,90,90
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-44,90,90.0,2.412,1,297,14,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,1 - 3,Infrastructure,Not Configured,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,90,90
FADER,C0-56-27-18-69-64,802.11n,-46,88,88.0,2.462,11,208,15,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,88,88
FADER-guest,C0-56-27-18-69-66,802.11n,-46,88,88.0,2.462,11,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,88,88
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-50,85,85.0,5.180,36,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,85,85
FADER,C0-56-27-18-69-65,802.11n,-52,84,84.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,84,84
WLANMTSU,D8-84-66-13-10-00,802.11ac,-58,80,80.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:05 AM,80,80
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-58,80,80.0,5.220,44,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,80,80
WLANMTSU,D8-84-66-12-51-60,802.11ac,-62,72,72.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,72,72
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-67,62,62.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,62,62
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-70,40,40.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,40,40
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-77,26,26.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,26,26
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-79,22,22.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,22,22
WLANMTSU,D8-84-66-13-09-E8,802.11n,-81,18,18.0,2.412,1,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,18,18
WLANMTSU,D8-84-66-12-8A-18,802.11n,-83,14,14.0,2.412,1,122,9,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,14,14
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-84,12,12.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,12,12
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-84,12,12.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,12,12
WLANMTSU,D8-84-66-13-12-A0,802.11ac,-85,10,10.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/11/2019 7:23:05 AM,4/11/2019 7:23:05 AM,1,4/11/2019 7:23:02 AM,10,10
