SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
FADER,C0-56-27-18-69-64,802.11n,-42,91,91.0,2.462,11,208,15,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/19/2019 1:45:27 PM,4/19/2019 1:45:27 PM,1,4/19/2019 1:45:27 PM,91,91
FADER-guest,C0-56-27-18-69-66,802.11n,-45,89,89.0,2.462,11,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/19/2019 1:45:27 PM,4/19/2019 1:45:27 PM,1,4/19/2019 1:45:27 PM,89,89
DIRECT-61-HP OfficeJet Pro 7720,1A-60-24-65-8C-61,802.11n,-71,38,38.0,2.462,11,468,14,,OfficeJet Pro 7720 Wide Format A,DIRECT-61-HP OfficeJet Pro 7720,WPA2-PSK,CCMP,72 Mbps,20 MHz,9 - 13,Infrastructure,Configured,4/19/2019 1:45:27 PM,4/19/2019 1:45:27 PM,1,4/19/2019 1:45:27 PM,38,38
