SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-49,86,86.0,5.180,36,326,10,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/11/2019 7:45:03 AM,4/11/2019 7:45:03 AM,1,4/11/2019 7:44:59 AM,86,86
FADER,C0-56-27-18-69-65,802.11n,-52,84,84.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/11/2019 7:45:03 AM,4/11/2019 7:45:03 AM,1,4/11/2019 7:44:59 AM,84,84
WLANMTSU,D8-84-66-13-10-00,802.11ac,-58,80,80.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:45:03 AM,4/11/2019 7:45:03 AM,1,4/11/2019 7:45:03 AM,80,80
WLANMTSU,D8-84-66-12-51-60,802.11ac,-61,74,74.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/11/2019 7:45:03 AM,4/11/2019 7:45:03 AM,1,4/11/2019 7:44:59 AM,74,74
DIRECT-61-HP OfficeJet Pro 7720,1A-60-24-65-8C-61,802.11n,-66,64,64.0,2.462,11,468,14,,OfficeJet Pro 7720 Wide Format A,DIRECT-61-HP OfficeJet Pro 7720,WPA2-PSK,CCMP,72 Mbps,20 MHz,9 - 13,Infrastructure,Configured,4/11/2019 7:45:03 AM,4/11/2019 7:45:03 AM,1,4/11/2019 7:45:00 AM,64,64
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-68,60,60.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:45:03 AM,4/11/2019 7:45:03 AM,1,4/11/2019 7:44:59 AM,60,60
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-71,38,38.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/11/2019 7:45:03 AM,4/11/2019 7:45:03 AM,1,4/11/2019 7:45:00 AM,38,38
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-76,28,28.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:45:03 AM,4/11/2019 7:45:03 AM,1,4/11/2019 7:44:59 AM,28,28
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-78,24,24.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:45:03 AM,4/11/2019 7:45:03 AM,1,4/11/2019 7:44:59 AM,24,24
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-84,12,12.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:45:03 AM,4/11/2019 7:45:03 AM,1,4/11/2019 7:44:59 AM,12,12
WLANMTSU,D8-84-66-13-12-A0,802.11ac,-85,10,10.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/11/2019 7:45:03 AM,4/11/2019 7:45:03 AM,1,4/11/2019 7:45:00 AM,10,10
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-86,8,8.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:45:03 AM,4/11/2019 7:45:03 AM,1,4/11/2019 7:44:59 AM,8,8
