SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-41,92,92.0,2.462,11,297,14,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,Not Configured,4/11/2019 8:18:21 AM,4/11/2019 8:18:21 AM,1,4/11/2019 8:18:18 AM,92,92
FADER,C0-56-27-18-69-64,802.11n,-46,88,88.0,2.462,11,208,15,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/11/2019 8:18:21 AM,4/11/2019 8:18:21 AM,1,4/11/2019 8:18:18 AM,88,88
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-48,87,87.0,5.180,36,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/11/2019 8:18:21 AM,4/11/2019 8:18:21 AM,1,4/11/2019 8:18:17 AM,87,87
WLANMTSU,D8-84-66-13-10-00,802.11ac,-49,86,86.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:18:21 AM,4/11/2019 8:18:21 AM,1,4/11/2019 8:18:21 AM,86,86
WLANMTSU,D8-84-66-12-51-60,802.11ac,-54,82,82.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/11/2019 8:18:21 AM,4/11/2019 8:18:21 AM,1,4/11/2019 8:18:17 AM,82,82
FADER,C0-56-27-18-69-65,802.11n,-56,81,81.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/11/2019 8:18:21 AM,4/11/2019 8:18:21 AM,1,4/11/2019 8:18:17 AM,81,81
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-56,81,81.0,5.220,44,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/11/2019 8:18:21 AM,4/11/2019 8:18:21 AM,1,4/11/2019 8:18:17 AM,81,81
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-61,74,74.0,2.437,6,283,13,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/11/2019 8:18:21 AM,4/11/2019 8:18:21 AM,1,4/11/2019 8:18:18 AM,74,74
DIRECT-61-HP OfficeJet Pro 7720,1A-60-24-65-8C-61,802.11n,-62,72,72.0,2.462,11,468,14,,OfficeJet Pro 7720 Wide Format A,DIRECT-61-HP OfficeJet Pro 7720,WPA2-PSK,CCMP,72 Mbps,20 MHz,9 - 13,Infrastructure,Configured,4/11/2019 8:18:21 AM,4/11/2019 8:18:21 AM,1,4/11/2019 8:18:18 AM,72,72
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-65,66,66.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:18:21 AM,4/11/2019 8:18:21 AM,1,4/11/2019 8:18:17 AM,66,66
