SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-45,89,89.0,2.437,6,204,14,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/8/2019 2:54:29 PM,4/8/2019 2:54:29 PM,1,4/8/2019 2:54:25 PM,89,89
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-46,88,88.0,2.412,1,297,14,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,1 - 3,Infrastructure,Not Configured,4/8/2019 2:54:29 PM,4/8/2019 2:54:29 PM,1,4/8/2019 2:54:25 PM,88,88
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-51,85,85.0,5.180,36,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/8/2019 2:54:29 PM,4/8/2019 2:54:29 PM,1,4/8/2019 2:54:25 PM,85,85
WLANMTSU,D8-84-66-13-10-00,802.11ac,-55,82,82.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/8/2019 2:54:28 PM,4/8/2019 2:54:28 PM,1,4/8/2019 2:54:28 PM,82,82
FADER-guest,C0-56-27-18-69-66,802.11n,-56,81,81.0,2.437,6,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,No,4/8/2019 2:54:28 PM,4/8/2019 2:54:28 PM,1,4/8/2019 2:54:25 PM,81,81
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-58,80,80.0,5.180,36,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,34 - 38,Infrastructure,Not Configured,4/8/2019 2:54:29 PM,4/8/2019 2:54:29 PM,1,4/8/2019 2:54:25 PM,80,80
WLANMTSU,D8-84-66-13-10-08,802.11n,-61,74,74.0,2.412,1,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,4/8/2019 2:54:29 PM,4/8/2019 2:54:29 PM,1,4/8/2019 2:54:25 PM,74,74
FADER,C0-56-27-18-69-65,802.11n,-66,64,64.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/8/2019 2:54:29 PM,4/8/2019 2:54:29 PM,1,4/8/2019 2:54:25 PM,64,64
WLANMTSU,D8-84-66-12-51-60,802.11ac,-70,40,40.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/8/2019 2:54:29 PM,4/8/2019 2:54:29 PM,1,4/8/2019 2:54:25 PM,40,40
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-76,28,28.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/8/2019 2:54:29 PM,4/8/2019 2:54:29 PM,1,4/8/2019 2:54:25 PM,28,28
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-78,24,24.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/8/2019 2:54:29 PM,4/8/2019 2:54:29 PM,1,4/8/2019 2:54:25 PM,24,24
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-79,22,22.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,4/8/2019 2:54:28 PM,4/8/2019 2:54:28 PM,1,4/8/2019 2:54:25 PM,22,22
