SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
FADER-guest,C0-56-27-18-69-66,802.11n,-43,90,90.0,2.437,6,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,No,4/11/2019 8:04:02 AM,4/11/2019 8:04:02 AM,1,4/11/2019 8:03:59 AM,90,90
FADER,C0-56-27-18-69-64,802.11n,-44,90,90.0,2.437,6,208,15,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,4/11/2019 8:04:02 AM,4/11/2019 8:04:02 AM,1,4/11/2019 8:03:59 AM,90,90
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-47,87,87.0,5.180,36,332,11,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/11/2019 8:04:02 AM,4/11/2019 8:04:02 AM,1,4/11/2019 8:03:58 AM,87,87
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-47,87,87.0,2.462,11,354,16,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,Not Configured,4/11/2019 8:04:02 AM,4/11/2019 8:04:02 AM,1,4/11/2019 8:03:59 AM,87,87
WLANMTSU,D8-84-66-13-10-00,802.11ac,-47,87,87.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:04:02 AM,4/11/2019 8:04:02 AM,1,4/11/2019 8:04:02 AM,87,87
WLANMTSU,D8-84-66-12-51-60,802.11ac,-53,83,83.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/11/2019 8:04:02 AM,4/11/2019 8:04:02 AM,1,4/11/2019 8:03:58 AM,83,83
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-55,82,82.0,5.220,44,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/11/2019 8:04:02 AM,4/11/2019 8:04:02 AM,1,4/11/2019 8:03:58 AM,82,82
FADER,C0-56-27-18-69-65,802.11n,-56,81,81.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/11/2019 8:04:02 AM,4/11/2019 8:04:02 AM,1,4/11/2019 8:03:58 AM,81,81
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-58,80,80.0,2.437,6,283,13,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/11/2019 8:04:02 AM,4/11/2019 8:04:02 AM,1,4/11/2019 8:03:59 AM,80,80
WLANMTSU,D8-84-66-12-51-68,802.11n,-58,80,80.0,2.462,11,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,9 - 13,Infrastructure,No,4/11/2019 8:04:02 AM,4/11/2019 8:04:02 AM,1,4/11/2019 8:03:59 AM,80,80
