SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
FADER,C0-56-27-18-69-64,802.11n,-36,95,95.0,2.437,6,208,15,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,4/8/2019 3:01:59 PM,4/8/2019 3:01:59 PM,1,4/8/2019 3:01:56 PM,95,95
FADER-guest,C0-56-27-18-69-66,802.11n,-36,95,95.0,2.437,6,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,No,4/8/2019 3:01:59 PM,4/8/2019 3:01:59 PM,1,4/8/2019 3:01:56 PM,95,95
FADER,C0-56-27-18-69-65,802.11n,-44,90,90.0,5.180,36,192,11,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/8/2019 3:01:59 PM,4/8/2019 3:01:59 PM,1,4/8/2019 3:01:55 PM,90,90
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-46,88,88.0,2.412,1,297,14,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,1 - 3,Infrastructure,Not Configured,4/8/2019 3:01:59 PM,4/8/2019 3:01:59 PM,1,4/8/2019 3:01:56 PM,88,88
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-49,86,86.0,5.180,36,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/8/2019 3:01:59 PM,4/8/2019 3:01:59 PM,1,4/8/2019 3:01:55 PM,86,86
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-50,85,85.0,2.437,6,334,14,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/8/2019 3:01:59 PM,4/8/2019 3:01:59 PM,1,4/8/2019 3:01:56 PM,85,85
WLANMTSU,D8-84-66-13-10-00,802.11ac,-52,84,84.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/8/2019 3:01:59 PM,4/8/2019 3:01:59 PM,1,4/8/2019 3:01:59 PM,84,84
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-57,80,80.0,5.220,44,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/8/2019 3:01:59 PM,4/8/2019 3:01:59 PM,1,4/8/2019 3:01:55 PM,80,80
WLANMTSU,D8-84-66-13-10-08,802.11n,-58,80,80.0,2.412,1,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,4/8/2019 3:01:59 PM,4/8/2019 3:01:59 PM,1,4/8/2019 3:01:56 PM,80,80
WLANMTSU,D8-84-66-12-51-60,802.11ac,-58,80,80.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/8/2019 3:01:59 PM,4/8/2019 3:01:59 PM,1,4/8/2019 3:01:55 PM,80,80
