SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-41,92,92.0,2.462,11,297,14,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,Not Configured,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:41 AM,92,92
FADER,C0-56-27-18-69-64,802.11n,-46,88,88.0,2.462,11,214,16,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:41 AM,88,88
FADER-guest,C0-56-27-18-69-66,802.11n,-47,87,87.0,2.462,11,166,14,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:41 AM,87,87
WLANMTSU,D8-84-66-13-10-00,802.11ac,-47,87,87.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:44 AM,87,87
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-48,87,87.0,5.180,36,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:40 AM,87,87
WLANMTSU,D8-84-66-12-51-60,802.11ac,-54,82,82.0,5.180,36,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:40 AM,82,82
FADER,C0-56-27-18-69-65,802.11n,-57,80,80.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:40 AM,80,80
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-58,80,80.0,2.437,6,283,13,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:41 AM,80,80
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-58,80,80.0,5.220,44,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:41 AM,80,80
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-61,74,74.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:41 AM,74,74
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-66,64,64.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:40 AM,64,64
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-68,60,60.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:40 AM,60,60
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-69,50,50.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:40 AM,50,50
WLANMTSU,D8-84-66-12-E3-48,802.11n,-71,38,38.0,2.437,6,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,4 - 8,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:41 AM,38,38
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-72,36,36.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:40 AM,36,36
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-74,32,32.0,5.220,44,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:41 AM,32,32
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-76,28,28.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:40 AM,28,28
WLANMTSU,D8-84-66-12-81-E1,802.11ac,-83,14,14.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:40 AM,14,14
WLANMTSU,D8-84-66-12-8A-10,802.11ac,-83,14,14.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:40 AM,14,14
WLANMTSU,D8-84-66-12-7F-20,802.11ac,-88,4,4.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 8:21:44 AM,4/11/2019 8:21:44 AM,1,4/11/2019 8:21:40 AM,4,4
