SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-45,89,89.0,2.412,1,297,14,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,1 - 3,Infrastructure,Not Configured,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:42 AM,89,89
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-53,83,83.0,5.180,36,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:41 AM,83,83
WLANMTSU,D8-84-66-13-10-00,802.11ac,-53,83,83.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:45 AM,83,83
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-54,82,82.0,5.220,44,189,10,Belkin International Inc.,,,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:42 AM,82,82
FADER,C0-56-27-18-69-65,802.11n,-63,70,70.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:41 AM,70,70
WLANMTSU,D8-84-66-12-51-60,802.11ac,-64,68,68.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:41 AM,68,68
WLANMTSU,D8-84-66-13-09-E8,802.11n,-73,34,34.0,2.412,1,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:42 AM,34,34
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-76,28,28.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:41 AM,28,28
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-76,28,28.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:41 AM,28,28
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-80,20,20.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:41 AM,20,20
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-82,16,16.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:42 AM,16,16
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-83,14,14.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:41 AM,14,14
WLANMTSU,D8-84-66-12-8A-18,802.11n,-84,12,12.0,2.412,1,122,9,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:42 AM,12,12
WLANMTSU,D8-84-66-12-81-E1,802.11ac,-87,6,6.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:41 AM,6,6
WLANMTSU,D8-84-66-13-15-A0,802.11ac,-88,4,4.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:41 AM,4,4
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-88,4,4.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:01:45 AM,4/11/2019 7:01:45 AM,1,4/11/2019 7:01:41 AM,4,4
