SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
FADER-guest,C0-56-27-18-69-66,802.11n,-41,92,92.0,2.462,11,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:51 AM,92,92
FADER,C0-56-27-18-69-65,802.11n,-52,84,84.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:50 AM,84,84
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-58,80,80.0,5.220,44,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:50 AM,80,80
WLANMTSU,D8-84-66-13-10-00,802.11ac,-58,80,80.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:54 AM,80,80
WLANMTSU,D8-84-66-12-51-60,802.11ac,-61,74,74.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:50 AM,74,74
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-68,60,60.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:50 AM,60,60
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-70,40,40.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:50 AM,40,40
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-77,26,26.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:50 AM,26,26
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-79,22,22.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:50 AM,22,22
WLANMTSU,D8-84-66-13-15-A0,802.11ac,-82,16,16.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:50 AM,16,16
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-83,14,14.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:50 AM,14,14
WLANMTSU,D8-84-66-13-12-A0,802.11ac,-85,10,10.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:50 AM,10,10
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-86,8,8.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:50 AM,8,8
DIRECT-40-HP M452 LaserJet,B2-52-16-6D-11-40,802.11n,-87,6,6.0,2.437,6,276,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:51 AM,6,6
WLANMTSU,D8-84-66-12-8A-10,802.11ac,-89,2,2.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:50 AM,2,2
WLANMTSU,D8-84-66-69-0F-A0,802.11ac,-89,2,2.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:30:54 AM,4/11/2019 7:30:54 AM,1,4/11/2019 7:30:50 AM,2,2
