SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-43,90,90.0,2.437,6,283,13,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,90,90
FADER,C0-56-27-18-69-64,802.11n,-50,85,85.0,2.462,11,214,16,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:39 PM,85,85
FADER-guest,C0-56-27-18-69-66,802.11n,-54,82,82.0,2.462,11,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,82,82
WLANMTSU,D8-84-66-13-10-00,802.11ac,-54,82,82.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,82,82
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-54,82,82.0,5.180,36,325,11,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,82,82
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-57,80,80.0,5.220,44,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,80,80
FADER,C0-56-27-18-69-65,802.11n,-63,70,70.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,70,70
WLANMTSU,D8-84-66-12-51-60,802.11ac,-66,64,64.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,64,64
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-69,50,50.0,2.437,6,359,14,,,DIRECT-99-HP M477 LaserJet,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,Locked,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,50,50
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-75,30,30.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,30,30
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-76,28,28.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,28,28
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-80,20,20.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,20,20
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-80,20,20.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,20,20
WLANMTSU,D8-84-66-13-15-A0,802.11ac,-84,12,12.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,12,12
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-85,10,10.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,10,10
WLANMTSU,D8-84-66-12-E3-E8,802.11n,-85,10,10.0,2.412,1,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,10,10
WLANMTSU,D8-84-66-13-0F-30,802.11ac,-87,6,6.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:03:39 PM,4/19/2019 1:03:39 PM,1,4/19/2019 1:03:36 PM,6,6
