SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-45,89,89.0,2.437,6,283,13,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/11/2019 7:34:06 AM,4/11/2019 7:34:06 AM,1,4/11/2019 7:34:03 AM,89,89
FADER-guest,C0-56-27-18-69-66,802.11n,-46,88,88.0,2.462,11,166,14,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/11/2019 7:34:06 AM,4/11/2019 7:34:06 AM,1,4/11/2019 7:34:03 AM,88,88
FADER,C0-56-27-18-69-64,802.11n,-46,88,88.0,2.462,11,208,15,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/11/2019 7:34:06 AM,4/11/2019 7:34:06 AM,1,4/11/2019 7:34:03 AM,88,88
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-50,85,85.0,5.180,36,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/11/2019 7:34:06 AM,4/11/2019 7:34:06 AM,1,4/11/2019 7:34:03 AM,85,85
FADER,C0-56-27-18-69-65,802.11n,-52,84,84.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/11/2019 7:34:06 AM,4/11/2019 7:34:06 AM,1,4/11/2019 7:34:03 AM,84,84
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-57,80,80.0,5.220,44,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/11/2019 7:34:06 AM,4/11/2019 7:34:06 AM,1,4/11/2019 7:34:03 AM,80,80
WLANMTSU,D8-84-66-13-10-00,802.11ac,-58,80,80.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:34:06 AM,4/11/2019 7:34:06 AM,1,4/11/2019 7:34:06 AM,80,80
WLANMTSU,D8-84-66-12-51-60,802.11ac,-61,74,74.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/11/2019 7:34:06 AM,4/11/2019 7:34:06 AM,1,4/11/2019 7:34:03 AM,74,74
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-68,60,60.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/11/2019 7:34:06 AM,4/11/2019 7:34:06 AM,1,4/11/2019 7:34:03 AM,60,60
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-70,40,40.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,4/11/2019 7:34:06 AM,4/11/2019 7:34:06 AM,1,4/11/2019 7:34:03 AM,40,40
