SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-53,83,83.0,5.180,36,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/19/2019 1:07:35 PM,4/19/2019 1:07:35 PM,1,4/19/2019 1:07:31 PM,83,83
FADER,C0-56-27-18-69-64,802.11n,-54,82,82.0,2.462,11,214,16,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/19/2019 1:07:35 PM,4/19/2019 1:07:35 PM,1,4/19/2019 1:07:35 PM,82,82
WLANMTSU,D8-84-66-13-10-00,802.11ac,-54,82,82.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:07:35 PM,4/19/2019 1:07:35 PM,1,4/19/2019 1:07:32 PM,82,82
FADER-guest,C0-56-27-18-69-66,802.11n,-54,82,82.0,2.462,11,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/19/2019 1:07:35 PM,4/19/2019 1:07:35 PM,1,4/19/2019 1:07:31 PM,82,82
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-57,80,80.0,5.220,44,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/19/2019 1:07:35 PM,4/19/2019 1:07:35 PM,1,4/19/2019 1:07:32 PM,80,80
FADER,C0-56-27-18-69-65,802.11n,-64,68,68.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/19/2019 1:07:35 PM,4/19/2019 1:07:35 PM,1,4/19/2019 1:07:32 PM,68,68
WLANMTSU,D8-84-66-12-51-60,802.11ac,-65,66,66.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/19/2019 1:07:35 PM,4/19/2019 1:07:35 PM,1,4/19/2019 1:07:32 PM,66,66
WLANMTSU,D8-84-66-12-E3-E0,802.11ac,-76,28,28.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:07:35 PM,4/19/2019 1:07:35 PM,1,4/19/2019 1:07:32 PM,28,28
WLANMTSU,D8-84-66-13-09-E0,802.11ac,-76,28,28.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:07:35 PM,4/19/2019 1:07:35 PM,1,4/19/2019 1:07:32 PM,28,28
WLANMTSU,D8-84-66-12-E3-40,802.11ac,-77,26,26.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:07:35 PM,4/19/2019 1:07:35 PM,1,4/19/2019 1:07:32 PM,26,26
WLANMTSU,D8-84-66-12-81-B0,802.11ac,-80,20,20.0,5.220,44,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,42 - 58,Infrastructure,No,4/19/2019 1:07:35 PM,4/19/2019 1:07:35 PM,1,4/19/2019 1:07:32 PM,20,20
WLANMTSU,D8-84-66-12-E4-00,802.11ac,-84,12,12.0,5.805,161,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:07:35 PM,4/19/2019 1:07:35 PM,1,4/19/2019 1:07:32 PM,12,12
WLANMTSU,D8-84-66-12-81-E1,802.11ac,-87,6,6.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:07:35 PM,4/19/2019 1:07:35 PM,1,4/19/2019 1:07:32 PM,6,6
