SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-42,91,91.0,2.412,1,348,15,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,1 - 3,Infrastructure,Not Configured,4/19/2019 1:30:31 PM,4/19/2019 1:30:31 PM,1,4/19/2019 1:30:27 PM,91,91
FADER-guest,C0-56-27-18-69-66,802.11n,-42,91,91.0,2.462,11,160,13,Belkin International Inc.,,,None,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/19/2019 1:30:31 PM,4/19/2019 1:30:31 PM,1,4/19/2019 1:30:27 PM,91,91
FADER,C0-56-27-18-69-64,802.11n,-43,90,90.0,2.462,11,214,16,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,4/19/2019 1:30:31 PM,4/19/2019 1:30:31 PM,1,4/19/2019 1:30:31 PM,90,90
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-46,88,88.0,2.437,6,283,13,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/19/2019 1:30:31 PM,4/19/2019 1:30:31 PM,1,4/19/2019 1:30:27 PM,88,88
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-48,87,87.0,5.220,44,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/19/2019 1:30:31 PM,4/19/2019 1:30:31 PM,1,4/19/2019 1:30:28 PM,87,87
FADER,C0-56-27-18-69-65,802.11n,-53,83,83.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/19/2019 1:30:31 PM,4/19/2019 1:30:31 PM,1,4/19/2019 1:30:28 PM,83,83
WLANMTSU,D8-84-66-13-10-00,802.11ac,-55,82,82.0,5.745,149,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/19/2019 1:30:31 PM,4/19/2019 1:30:31 PM,1,4/19/2019 1:30:28 PM,82,82
WLANMTSU,D8-84-66-13-10-08,802.11n,-57,80,80.0,2.412,1,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,1 - 3,Infrastructure,No,4/19/2019 1:30:31 PM,4/19/2019 1:30:31 PM,1,4/19/2019 1:30:27 PM,80,80
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-60,76,76.0,5.180,36,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/19/2019 1:30:31 PM,4/19/2019 1:30:31 PM,1,4/19/2019 1:30:28 PM,76,76
WLANMTSU,D8-84-66-12-51-60,802.11ac,-61,74,74.0,5.180,36,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/19/2019 1:30:31 PM,4/19/2019 1:30:31 PM,1,4/19/2019 1:30:28 PM,74,74
